Effective Date,Index Name,Action,Company Name,Ticker,GICS Sector,Market,Release date,sector_stock,sector_performance_1week,sector_performance_5week,sector_performance_20week,index_performance_1week,index_performance_5week,index_performance_20week,company_performance_1week,company_performance_5week,company_performance_20week,market_performance_1week,index_stock,market_performance_5week,market_performance_20week,twentyfour_hr_post_release%change,twentyfour_hr_post_effect%change,market_cap,2week_volume_avg,10week_sum_dividens,10week_sum_dividends,10weeks_sum_dividends,20week_avg_vol
2022-02-18,S&P SmallCap 600,Addition,Urban Edge Properties,UE,Real Estate,"NEW YORK, ",2022-02-15,XLRE,-2.619715353039663,-7.221774302196981,1.935331796845798,1.2518841089007822,-5.748449852345419,-4.852601156585266,-0.2277836362166209,-10.383626483393297,-3.3990881722246424,na,^SP600,na,na,6.746714240238906,0.0,970,692420,0,0,0.15,669005
2022-02-18,S&P SmallCap 600,Addition,Corsair Gaming,CRSR,Information Technology,"NEW YORK, ",2022-02-15,XLK,-0.5504863872787427,-5.050450567265185,2.7854560175627348,1.2518841089007822,-5.748449852345419,-4.852601156585266,7.890669081002216,2.952757827169431,-24.17542602176576,na,^SP600,na,na,9.61895748509352,0.0,970,1268960,0,0,0.0,1219084
2021-07-07,S&P MidCap 400,Addition,Cerence,CRNC,Information Technology,"NEW YORK, ",2021-07-01,XLK,1.40282951965598,6.649090140379859,7.823861655537218,0.7217598627821724,-0.4647911342136676,7.021170179847341,-4.920089659430204,15.296682945200512,-18.20498916551737,na,^SP400,na,na,13.872779228437338,-1.8677178567310584,2280,592230,0,0,0.0,516275
2021-07-07,S&P SmallCap 600,Addition,Adtalem Global Education,ATGE,Consumer Discretionary,"NEW YORK, ",2021-07-01,XLY,0.8110406939946273,3.5979470040226,4.994320245104052,0.5101082734257094,0.9781778061648164,6.788146487388988,0.5030752132946789,-0.138848207139872,-12.633626778952472,na,^SP600,na,na,7.95639811510303,-1.964422351311863,970,363710,0,0,0.0,432882
2021-07-15,S&P SmallCap 600,Addition,Middlesex Water,MSEX,Utilities,"NEW YORK, ",2021-07-12,XLU,0.8123705079029651,-0.6399042619111613,6.983603832135762,-1.030995189206081,-2.164685747505961,5.3858009649188325,0.6842846209176199,-2.238015817987752,10.33846276094924,na,^SP600,na,na,13.668888229061215,4.464479271605096,970,72533,0,0,0.273,131385
2022-07-20,S&P MidCap 400,Addition,Coca-Cola Consolidated,COKE,Consumer Staples,"NEW YORK, ",2022-07-13,XLP,-1.1640602441682406,-1.5010367005210672,-3.498822065446881,-0.1500212148524197,-10.834123057822096,-11.81396131740491,-3.258455416125179,-10.609928239772426,0.8363431280757027,na,^SP400,na,na,-11.416736004115624,0.4110910497460316,2280,31000,0,0,0.25,43525
2022-07-20,S&P SmallCap 600,Addition,Green Brick Partners,GRBK,Consumer Discretionary,"NEW YORK, ",2022-07-13,XLY,-2.932328903187428,-9.350069381856416,-20.943488239832927,-1.7164229088810727,-11.37357045270752,-12.98258538668698,-1.4064661890932744,-12.919250439618198,-2.049364884866588,na,^SP600,na,na,8.747705275988174,2.69709381013144,970,364044,0,0,0.0,539955
2021-07-21,S&P 500,Addition,Moderna,MRNA,Health Care,"NEW YORK, ",2021-07-15,XLV,0.1956487731947887,3.963128512665276,12.563889021566624,1.109683417836679,3.321697196946314,11.574134660904338,14.374478101451771,13.867606510041131,63.58933920881387,na,^GSPC,na,na,10.34443148253399,0.7380728544367244,36650,6060066,0,0,0.0,9236620
2022-07-21,S&P SmallCap 600,Addition,Sunstone Hotel Investors,SHO,Real Estate,"NEW YORK, ",2022-07-18,XLRE,0.4378485377621177,3.7962556110839047,-7.53099767927791,0.475905827217706,-2.390103342171221,-12.24481389795589,3.8662434154226495,-6.928847220620813,-5.062095690927239,na,^SP600,na,na,8.191804955790861,-2.112033871988537,970,3240222,0,0,0.0,3812502
2022-07-26,S&P MidCap 400,Addition,Novanta,NOVT,Information Technology,"NEW YORK, ",2022-07-21,XLK,7.4288543748736,9.785596598579652,-11.293712125231432,5.060162891547307,3.872225141525128,-10.4534295123693,9.81128269957737,14.896029668653249,-3.315695944686948,na,^SP400,na,na,9.626756499334524,2.487254117081822,2280,127310,0,0,0.0,134451
